SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
ANSALHSG,"(17.0, 17.7, 0)","(17.7, 18.4, 65)","(18.4, 19.1, 64)","(19.1, 19.8, 289)","(19.8, 20.5, 414)","(20.5, 21.2, 704)","(21.2, 21.9, 467)","(21.9, 22.6, 196)","(22.6, 23.3, 155)","(23.3, 24.0, 35)","(20.5, 21.2, 35)"
ANTGRAPHIC,"(0.0, 0.1, 0)","(0.1, 0.2, 0)","(0.2, 0.3, 0)","(0.3, 0.4, 0)","(0.4, 0.5, 0)","(0.5, 0.6, 0)","(0.6, 0.7, 0)","(0.7, 0.8, 28)","(0.8, 0.9, 347)","(0.9, 1.0, 156)","(0.8, 0.9, 156)"
APARINDS,"(716.0, 726.5, 73)","(726.5, 737.0, 261)","(737.0, 747.5, 363)","(747.5, 758.0, 349)","(758.0, 768.5, 510)","(768.5, 779.0, 374)","(779.0, 789.5, 568)","(789.5, 800.0, 467)","(800.0, 810.5, 124)","(810.5, 821.0, 12)","(779.0, 789.5, 12)"
APCL,"(168.0, 173.6, 68)","(173.6, 179.2, 105)","(179.2, 184.8, 148)","(184.8, 190.4, 153)","(190.4, 196.0, 185)","(196.0, 201.6, 167)","(201.6, 207.2, 143)","(207.2, 212.8, 28)","(212.8, 218.4, 2)","(218.4, 224.0, 1)","(190.4, 196.0, 1)"
APCOTEXIND,"(483.0, 496.0, 200)","(496.0, 509.0, 492)","(509.0, 522.0, 513)","(522.0, 535.0, 199)","(535.0, 548.0, 133)","(548.0, 561.0, 186)","(561.0, 574.0, 358)","(574.0, 587.0, 257)","(587.0, 600.0, 74)","(600.0, 613.0, 58)","(509.0, 522.0, 58)"
APEX,"(576.0, 591.9, 51)","(591.9, 607.8, 7)","(607.8, 623.7, 271)","(623.7, 639.6, 631)","(639.6, 655.5, 938)","(655.5, 671.4, 702)","(671.4, 687.3, 838)","(687.3, 703.2, 236)","(703.2, 719.1, 20)","(719.1, 735.0, 55)","(639.6, 655.5, 55)"
APLAPOLLO,"(1830.0, 1872.0, 16)","(1872.0, 1914.0, 240)","(1914.0, 1956.0, 363)","(1956.0, 1998.0, 360)","(1998.0, 2040.0, 425)","(2040.0, 2082.0, 229)","(2082.0, 2124.0, 428)","(2124.0, 2166.0, 569)","(2166.0, 2208.0, 796)","(2208.0, 2250.0, 8)","(2166.0, 2208.0, 8)"
APLLTD,"(483.0, 491.7, 112)","(491.7, 500.4, 111)","(500.4, 509.1, 581)","(509.1, 517.8, 89)","(517.8, 526.5, 317)","(526.5, 535.2, 388)","(535.2, 543.9, 1032)","(543.9, 552.6, 603)","(552.6, 561.3, 143)","(561.3, 570.0, 4)","(535.2, 543.9, 4)"
APOLLO,"(206.0, 216.8, 335)","(216.8, 227.6, 257)","(227.6, 238.4, 225)","(238.4, 249.2, 535)","(249.2, 260.0, 1003)","(260.0, 270.8, 124)","(270.8, 281.6, 538)","(281.6, 292.4, 349)","(292.4, 303.2, 185)","(303.2, 314.0, 108)","(249.2, 260.0, 108)"
APOLLOHOSP,"(996.0, 1017.4, 164)","(1017.4, 1038.8, 330)","(1038.8, 1060.2, 380)","(1060.2, 1081.6, 855)","(1081.6, 1103.0, 913)","(1103.0, 1124.4, 369)","(1124.4, 1145.8, 217)","(1145.8, 1167.2, 222)","(1167.2, 1188.6, 151)","(1188.6, 1210.0, 157)","(1081.6, 1103.0, 157)"
APOLLOTYRE,"(251.0, 256.7, 142)","(256.7, 262.4, 446)","(262.4, 268.1, 622)","(268.1, 273.8, 195)","(273.8, 279.5, 181)","(279.5, 285.2, 241)","(285.2, 290.9, 899)","(290.9, 296.6, 790)","(296.6, 302.3, 214)","(302.3, 308.0, 25)","(285.2, 290.9, 25)"
APOLSINHOT,"(1241.0, 1316.5, 76)","(1316.5, 1392.0, 120)","(1392.0, 1467.5, 330)","(1467.5, 1543.0, 155)","(1543.0, 1618.5, 49)","(1618.5, 1694.0, 83)","(1694.0, 1769.5, 158)","(1769.5, 1845.0, 217)","(1845.0, 1920.5, 68)","(1920.5, 1996.0, 1)","(1392.0, 1467.5, 1)"
APTECHT,"(255.0, 262.2, 183)","(262.2, 269.4, 489)","(269.4, 276.6, 988)","(276.6, 283.8, 435)","(283.8, 291.0, 382)","(291.0, 298.2, 519)","(298.2, 305.4, 163)","(305.4, 312.6, 282)","(312.6, 319.8, 197)","(319.8, 327.0, 119)","(269.4, 276.6, 119)"
ARCHIDPLY,"(74.0, 76.7, 68)","(76.7, 79.4, 304)","(79.4, 82.1, 80)","(82.1, 84.8, 543)","(84.8, 87.5, 579)","(87.5, 90.2, 434)","(90.2, 92.9, 606)","(92.9, 95.6, 283)","(95.6, 98.3, 222)","(98.3, 101.0, 19)","(90.2, 92.9, 19)"
ARCHIES,"(30.0, 31.7, 125)","(31.7, 33.4, 261)","(33.4, 35.1, 1114)","(35.1, 36.8, 537)","(36.8, 38.5, 576)","(38.5, 40.2, 276)","(40.2, 41.9, 270)","(41.9, 43.6, 77)","(43.6, 45.3, 168)","(45.3, 47.0, 11)","(33.4, 35.1, 11)"
ARCOTECH,"(22.0, 24.6, 111)","(24.6, 27.2, 147)","(27.2, 29.8, 672)","(29.8, 32.4, 213)","(32.4, 35.0, 514)","(35.0, 37.6, 906)","(37.6, 40.2, 475)","(40.2, 42.8, 395)","(42.8, 45.4, 238)","(45.4, 48.0, 41)","(35.0, 37.6, 41)"
ARENTERP,"(14.0, 14.6, 1)","(14.6, 15.2, 6)","(15.2, 15.8, 1)","(15.8, 16.4, 6)","(16.4, 17.0, 0)","(17.0, 17.6, 1)","(17.6, 18.2, 2)","(18.2, 18.8, 0)","(18.8, 19.4, 2)","(19.4, 20.0, 1)","(14.6, 15.2, 1)"
ARIES,"(175.0, 179.2, 89)","(179.2, 183.4, 225)","(183.4, 187.6, 249)","(187.6, 191.8, 231)","(191.8, 196.0, 295)","(196.0, 200.2, 442)","(200.2, 204.4, 706)","(204.4, 208.6, 544)","(208.6, 212.8, 211)","(212.8, 217.0, 62)","(200.2, 204.4, 62)"
ARIHANT,"(38.0, 39.0, 10)","(39.0, 40.0, 8)","(40.0, 41.0, 20)","(41.0, 42.0, 9)","(42.0, 43.0, 17)","(43.0, 44.0, 12)","(44.0, 45.0, 8)","(45.0, 46.0, 7)","(46.0, 47.0, 1)","(47.0, 48.0, 2)","(40.0, 41.0, 2)"
ARIHANTSUP,"(112.0, 116.0, 301)","(116.0, 120.0, 360)","(120.0, 124.0, 443)","(124.0, 128.0, 386)","(128.0, 132.0, 255)","(132.0, 136.0, 254)","(136.0, 140.0, 577)","(140.0, 144.0, 252)","(144.0, 148.0, 74)","(148.0, 152.0, 8)","(136.0, 140.0, 8)"
ARMANFIN,"(308.0, 322.2, 173)","(322.2, 336.4, 373)","(336.4, 350.6, 267)","(350.6, 364.8, 43)","(364.8, 379.0, 29)","(379.0, 393.2, 8)","(393.2, 407.4, 18)","(407.4, 421.6, 131)","(421.6, 435.8, 256)","(435.8, 450.0, 101)","(322.2, 336.4, 101)"
AROGRANITE,"(54.0, 55.9, 270)","(55.9, 57.8, 328)","(57.8, 59.7, 734)","(59.7, 61.6, 679)","(61.6, 63.5, 220)","(63.5, 65.4, 209)","(65.4, 67.3, 104)","(67.3, 69.2, 70)","(69.2, 71.1, 1)","(71.1, 73.0, 2)","(57.8, 59.7, 2)"
ARROWGREEN,"(251.0, 266.7, 170)","(266.7, 282.4, 275)","(282.4, 298.1, 321)","(298.1, 313.8, 262)","(313.8, 329.5, 301)","(329.5, 345.2, 310)","(345.2, 360.9, 622)","(360.9, 376.6, 481)","(376.6, 392.3, 338)","(392.3, 408.0, 129)","(345.2, 360.9, 129)"
ARROWTEX,"(30.0, 31.2, 11)","(31.2, 32.4, 9)","(32.4, 33.6, 11)","(33.6, 34.8, 147)","(34.8, 36.0, 306)","(36.0, 37.2, 360)","(37.2, 38.4, 275)","(38.4, 39.6, 162)","(39.6, 40.8, 109)","(40.8, 42.0, 3)","(36.0, 37.2, 3)"
ARSHIYA,"(59.0, 62.4, 165)","(62.4, 65.8, 348)","(65.8, 69.2, 5)","(69.2, 72.6, 71)","(72.6, 76.0, 627)","(76.0, 79.4, 861)","(79.4, 82.8, 537)","(82.8, 86.2, 29)","(86.2, 89.6, 142)","(89.6, 93.0, 110)","(76.0, 79.4, 110)"
ARSSINFRA,"(35.0, 37.3, 35)","(37.3, 39.6, 226)","(39.6, 41.9, 247)","(41.9, 44.2, 273)","(44.2, 46.5, 144)","(46.5, 48.8, 223)","(48.8, 51.1, 117)","(51.1, 53.4, 97)","(53.4, 55.7, 129)","(55.7, 58.0, 19)","(41.9, 44.2, 19)"
ARVIND,"(375.0, 382.0, 79)","(382.0, 389.0, 348)","(389.0, 396.0, 522)","(396.0, 403.0, 364)","(403.0, 410.0, 635)","(410.0, 417.0, 691)","(417.0, 424.0, 571)","(424.0, 431.0, 412)","(431.0, 438.0, 101)","(438.0, 445.0, 33)","(410.0, 417.0, 33)"
ARVSMART,"(156.0, 161.6, 78)","(161.6, 167.2, 181)","(167.2, 172.8, 115)","(172.8, 178.4, 85)","(178.4, 184.0, 531)","(184.0, 189.6, 896)","(189.6, 195.2, 598)","(195.2, 200.8, 288)","(200.8, 206.4, 262)","(206.4, 212.0, 36)","(184.0, 189.6, 36)"
ASAHIINDIA,"(330.0, 335.6, 495)","(335.6, 341.2, 167)","(341.2, 346.8, 394)","(346.8, 352.4, 557)","(352.4, 358.0, 491)","(358.0, 363.6, 272)","(363.6, 369.2, 320)","(369.2, 374.8, 41)","(374.8, 380.4, 138)","(380.4, 386.0, 48)","(346.8, 352.4, 48)"
ASAHISONG,"(300.0, 306.5, 51)","(306.5, 313.0, 83)","(313.0, 319.5, 154)","(319.5, 326.0, 82)","(326.0, 332.5, 269)","(332.5, 339.0, 481)","(339.0, 345.5, 322)","(345.5, 352.0, 260)","(352.0, 358.5, 168)","(358.5, 365.0, 14)","(332.5, 339.0, 14)"
ASAL,"(71.0, 73.0, 35)","(73.0, 75.0, 110)","(75.0, 77.0, 123)","(77.0, 79.0, 288)","(79.0, 81.0, 613)","(81.0, 83.0, 704)","(83.0, 85.0, 112)","(85.0, 87.0, 7)","(87.0, 89.0, 6)","(89.0, 91.0, 3)","(81.0, 83.0, 3)"
ASHAPURMIN,"(57.0, 59.6, 21)","(59.6, 62.2, 45)","(62.2, 64.8, 304)","(64.8, 67.4, 394)","(67.4, 70.0, 655)","(70.0, 72.6, 450)","(72.6, 75.2, 492)","(75.2, 77.8, 658)","(77.8, 80.4, 441)","(80.4, 83.0, 12)","(75.2, 77.8, 12)"
ASHIANA,"(152.0, 154.2, 140)","(154.2, 156.4, 176)","(156.4, 158.6, 385)","(158.6, 160.8, 581)","(160.8, 163.0, 698)","(163.0, 165.2, 405)","(165.2, 167.4, 538)","(167.4, 169.6, 249)","(169.6, 171.8, 173)","(171.8, 174.0, 96)","(160.8, 163.0, 96)"
ASHIMASYN,"(22.0, 23.1, 40)","(23.1, 24.2, 80)","(24.2, 25.3, 73)","(25.3, 26.4, 322)","(26.4, 27.5, 508)","(27.5, 28.6, 443)","(28.6, 29.7, 485)","(29.7, 30.8, 630)","(30.8, 31.9, 467)","(31.9, 33.0, 31)","(29.7, 30.8, 31)"
ASHOKA,"(218.0, 225.7, 209)","(225.7, 233.4, 817)","(233.4, 241.1, 115)","(241.1, 248.8, 330)","(248.8, 256.5, 88)","(256.5, 264.2, 516)","(264.2, 271.9, 835)","(271.9, 279.6, 455)","(279.6, 287.3, 354)","(287.3, 295.0, 11)","(264.2, 271.9, 11)"
ASHOKLEY,"(138.0, 141.0, 184)","(141.0, 144.0, 390)","(144.0, 147.0, 926)","(147.0, 150.0, 745)","(150.0, 153.0, 315)","(153.0, 156.0, 111)","(156.0, 159.0, 90)","(159.0, 162.0, 302)","(162.0, 165.0, 532)","(165.0, 168.0, 160)","(144.0, 147.0, 160)"
ASIANHOTNR,"(261.0, 268.5, 2)","(268.5, 276.0, 76)","(276.0, 283.5, 101)","(283.5, 291.0, 96)","(291.0, 298.5, 135)","(298.5, 306.0, 181)","(306.0, 313.5, 126)","(313.5, 321.0, 115)","(321.0, 328.5, 39)","(328.5, 336.0, 6)","(298.5, 306.0, 6)"
ASIANPAINT,"(1098.0, 1118.6, 833)","(1118.6, 1139.2, 572)","(1139.2, 1159.8, 735)","(1159.8, 1180.4, 712)","(1180.4, 1201.0, 364)","(1201.0, 1221.6, 229)","(1221.6, 1242.2, 161)","(1242.2, 1262.8, 2)","(1262.8, 1283.4, 41)","(1283.4, 1304.0, 108)","(1098.0, 1118.6, 108)"
ASIANTILES,"(439.0, 446.6, 61)","(446.6, 454.2, 481)","(454.2, 461.8, 445)","(461.8, 469.4, 352)","(469.4, 477.0, 453)","(477.0, 484.6, 375)","(484.6, 492.2, 455)","(492.2, 499.8, 569)","(499.8, 507.4, 377)","(507.4, 515.0, 44)","(492.2, 499.8, 44)"
ASPINWALL,"(350.0, 357.5, 6)","(357.5, 365.0, 27)","(365.0, 372.5, 91)","(372.5, 380.0, 109)","(380.0, 387.5, 133)","(387.5, 395.0, 181)","(395.0, 402.5, 159)","(402.5, 410.0, 97)","(410.0, 417.5, 48)","(417.5, 425.0, 9)","(387.5, 395.0, 9)"
ASSAMCO,"(3.0, 3.2, 0)","(3.2, 3.4, 0)","(3.4, 3.6, 0)","(3.6, 3.8, 0)","(3.8, 4.0, 16)","(4.0, 4.2, 376)","(4.2, 4.4, 805)","(4.4, 4.6, 607)","(4.6, 4.8, 499)","(4.8, 5.0, 142)","(4.2, 4.4, 142)"
ASTEC,"(535.0, 558.5, 203)","(558.5, 582.0, 788)","(582.0, 605.5, 774)","(605.5, 629.0, 593)","(629.0, 652.5, 26)","(652.5, 676.0, 155)","(676.0, 699.5, 360)","(699.5, 723.0, 204)","(723.0, 746.5, 158)","(746.5, 770.0, 17)","(558.5, 582.0, 17)"
ASTERDM,"(141.0, 146.3, 101)","(146.3, 151.6, 122)","(151.6, 156.9, 168)","(156.9, 162.2, 109)","(162.2, 167.5, 746)","(167.5, 172.8, 1525)","(172.8, 178.1, 597)","(178.1, 183.4, 141)","(183.4, 188.7, 144)","(188.7, 194.0, 97)","(167.5, 172.8, 97)"
ASTRAL,"(829.0, 843.6, 172)","(843.6, 858.2, 325)","(858.2, 872.8, 404)","(872.8, 887.4, 367)","(887.4, 902.0, 142)","(902.0, 916.6, 383)","(916.6, 931.2, 485)","(931.2, 945.8, 457)","(945.8, 960.4, 439)","(960.4, 975.0, 272)","(916.6, 931.2, 272)"
ASTRAMICRO,"(75.0, 78.7, 377)","(78.7, 82.4, 804)","(82.4, 86.1, 847)","(86.1, 89.8, 297)","(89.8, 93.5, 380)","(93.5, 97.2, 84)","(97.2, 100.9, 372)","(100.9, 104.6, 296)","(104.6, 108.3, 166)","(108.3, 112.0, 101)","(82.4, 86.1, 101)"
ASTRAZEN,"(923.0, 948.2, 282)","(948.2, 973.4, 582)","(973.4, 998.6, 421)","(998.6, 1023.8, 365)","(1023.8, 1049.0, 188)","(1049.0, 1074.2, 125)","(1074.2, 1099.4, 30)","(1099.4, 1124.6, 160)","(1124.6, 1149.8, 135)","(1149.8, 1175.0, 36)","(948.2, 973.4, 36)"
ASTRON,"(105.0, 109.3, 334)","(109.3, 113.6, 133)","(113.6, 117.9, 415)","(117.9, 122.2, 578)","(122.2, 126.5, 912)","(126.5, 130.8, 840)","(130.8, 135.1, 148)","(135.1, 139.4, 97)","(139.4, 143.7, 142)","(143.7, 148.0, 49)","(122.2, 126.5, 49)"
ATFL,"(623.0, 642.6, 487)","(642.6, 662.2, 888)","(662.2, 681.8, 56)","(681.8, 701.4, 390)","(701.4, 721.0, 551)","(721.0, 740.6, 235)","(740.6, 760.2, 54)","(760.2, 779.8, 48)","(779.8, 799.4, 134)","(799.4, 819.0, 74)","(642.6, 662.2, 74)"
ATLANTA,"(67.0, 69.9, 100)","(69.9, 72.8, 248)","(72.8, 75.7, 299)","(75.7, 78.6, 393)","(78.6, 81.5, 1013)","(81.5, 84.4, 1005)","(84.4, 87.3, 170)","(87.3, 90.2, 131)","(90.2, 93.1, 37)","(93.1, 96.0, 143)","(78.6, 81.5, 143)"
ATLASCYCLE,"(145.0, 150.5, 32)","(150.5, 156.0, 97)","(156.0, 161.5, 128)","(161.5, 167.0, 233)","(167.0, 172.5, 397)","(172.5, 178.0, 110)","(178.0, 183.5, 166)","(183.5, 189.0, 66)","(189.0, 194.5, 64)","(194.5, 200.0, 23)","(167.0, 172.5, 23)"
ATUL,"(2570.0, 2621.7, 320)","(2621.7, 2673.4, 842)","(2673.4, 2725.1, 508)","(2725.1, 2776.8, 647)","(2776.8, 2828.5, 318)","(2828.5, 2880.2, 314)","(2880.2, 2931.9, 65)","(2931.9, 2983.6, 58)","(2983.6, 3035.3, 3)","(3035.3, 3087.0, 5)","(2621.7, 2673.4, 5)"
ATULAUTO,"(417.0, 422.0, 56)","(422.0, 427.0, 237)","(427.0, 432.0, 483)","(432.0, 437.0, 421)","(437.0, 442.0, 689)","(442.0, 447.0, 809)","(447.0, 452.0, 404)","(452.0, 457.0, 12)","(457.0, 462.0, 3)","(462.0, 467.0, 2)","(442.0, 447.0, 2)"
AUBANK,"(568.0, 586.0, 849)","(586.0, 604.0, 484)","(604.0, 622.0, 76)","(622.0, 640.0, 267)","(640.0, 658.0, 460)","(658.0, 676.0, 652)","(676.0, 694.0, 296)","(694.0, 712.0, 331)","(712.0, 730.0, 265)","(730.0, 748.0, 35)","(568.0, 586.0, 35)"
AURIONPRO,"(206.0, 210.4, 109)","(210.4, 214.8, 508)","(214.8, 219.2, 719)","(219.2, 223.6, 362)","(223.6, 228.0, 122)","(228.0, 232.4, 188)","(232.4, 236.8, 251)","(236.8, 241.2, 494)","(241.2, 245.6, 185)","(245.6, 250.0, 4)","(214.8, 219.2, 4)"
AUROPHARMA,"(548.0, 558.5, 275)","(558.5, 569.0, 183)","(569.0, 579.5, 297)","(579.5, 590.0, 321)","(590.0, 600.5, 377)","(600.5, 611.0, 577)","(611.0, 621.5, 877)","(621.5, 632.0, 505)","(632.0, 642.5, 288)","(642.5, 653.0, 63)","(611.0, 621.5, 63)"
AUSOMENT,"(61.0, 66.3, 170)","(66.3, 71.6, 733)","(71.6, 76.9, 983)","(76.9, 82.2, 479)","(82.2, 87.5, 70)","(87.5, 92.8, 84)","(92.8, 98.1, 66)","(98.1, 103.4, 57)","(103.4, 108.7, 72)","(108.7, 114.0, 36)","(71.6, 76.9, 36)"
AUTOAXLES,"(1398.0, 1427.2, 179)","(1427.2, 1456.4, 157)","(1456.4, 1485.6, 411)","(1485.6, 1514.8, 457)","(1514.8, 1544.0, 981)","(1544.0, 1573.2, 371)","(1573.2, 1602.4, 365)","(1602.4, 1631.6, 88)","(1631.6, 1660.8, 268)","(1660.8, 1690.0, 108)","(1514.8, 1544.0, 108)"
AUTOIND,"(59.0, 62.5, 125)","(62.5, 66.0, 213)","(66.0, 69.5, 116)","(69.5, 73.0, 262)","(73.0, 76.5, 357)","(76.5, 80.0, 617)","(80.0, 83.5, 454)","(83.5, 87.0, 237)","(87.0, 90.5, 183)","(90.5, 94.0, 71)","(76.5, 80.0, 71)"
AUTOLITIND,"(59.0, 61.8, 88)","(61.8, 64.6, 98)","(64.6, 67.4, 315)","(67.4, 70.2, 332)","(70.2, 73.0, 369)","(73.0, 75.8, 446)","(75.8, 78.6, 409)","(78.6, 81.4, 119)","(81.4, 84.2, 69)","(84.2, 87.0, 3)","(73.0, 75.8, 3)"
AVADHSUGAR,"(347.0, 382.8, 872)","(382.8, 418.6, 661)","(418.6, 454.4, 540)","(454.4, 490.2, 632)","(490.2, 526.0, 506)","(526.0, 561.8, 120)","(561.8, 597.6, 89)","(597.6, 633.4, 33)","(633.4, 669.2, 47)","(669.2, 705.0, 116)","(347.0, 382.8, 116)"
AVANTIFEED,"(2123.0, 2163.2, 202)","(2163.2, 2203.4, 365)","(2203.4, 2243.6, 189)","(2243.6, 2283.8, 422)","(2283.8, 2324.0, 571)","(2324.0, 2364.2, 377)","(2364.2, 2404.4, 649)","(2404.4, 2444.6, 533)","(2444.6, 2484.8, 232)","(2484.8, 2525.0, 214)","(2364.2, 2404.4, 214)"
AVTNPL,"(33.0, 34.0, 6)","(34.0, 35.0, 60)","(35.0, 36.0, 336)","(36.0, 37.0, 227)","(37.0, 38.0, 360)","(38.0, 39.0, 519)","(39.0, 40.0, 925)","(40.0, 41.0, 598)","(41.0, 42.0, 211)","(42.0, 43.0, 4)","(39.0, 40.0, 4)"
AXISBANK,"(488.0, 495.1, 91)","(495.1, 502.2, 451)","(502.2, 509.3, 448)","(509.3, 516.4, 344)","(516.4, 523.5, 591)","(523.5, 530.6, 558)","(530.6, 537.7, 567)","(537.7, 544.8, 339)","(544.8, 551.9, 296)","(551.9, 559.0, 82)","(516.4, 523.5, 82)"
AXISCADES,"(136.0, 141.2, 262)","(141.2, 146.4, 396)","(146.4, 151.6, 510)","(151.6, 156.8, 400)","(156.8, 162.0, 321)","(162.0, 167.2, 326)","(167.2, 172.4, 586)","(172.4, 177.6, 465)","(177.6, 182.8, 186)","(182.8, 188.0, 26)","(167.2, 172.4, 26)"
AYMSYNTEX,"(57.0, 59.0, 92)","(59.0, 61.0, 294)","(61.0, 63.0, 421)","(63.0, 65.0, 311)","(65.0, 67.0, 174)","(67.0, 69.0, 203)","(69.0, 71.0, 62)","(71.0, 73.0, 55)","(73.0, 75.0, 53)","(75.0, 77.0, 6)","(61.0, 63.0, 6)"
BAFNAPHARM,"(24.0, 24.7, 31)","(24.7, 25.4, 182)","(25.4, 26.1, 102)","(26.1, 26.8, 91)","(26.8, 27.5, 164)","(27.5, 28.2, 256)","(28.2, 28.9, 234)","(28.9, 29.6, 160)","(29.6, 30.3, 49)","(30.3, 31.0, 29)","(27.5, 28.2, 29)"
BAGFILMS,"(4.0, 4.3, 0)","(4.3, 4.6, 163)","(4.6, 4.9, 162)","(4.9, 5.2, 434)","(5.2, 5.5, 759)","(5.5, 5.8, 507)","(5.8, 6.1, 183)","(6.1, 6.4, 14)","(6.4, 6.7, 0)","(6.7, 7.0, 0)","(5.2, 5.5, 0)"
BAJAJ-AUTO,"(2738.0, 2772.2, 282)","(2772.2, 2806.4, 618)","(2806.4, 2840.6, 480)","(2840.6, 2874.8, 539)","(2874.8, 2909.0, 515)","(2909.0, 2943.2, 451)","(2943.2, 2977.4, 561)","(2977.4, 3011.6, 106)","(3011.6, 3045.8, 170)","(3045.8, 3080.0, 32)","(2772.2, 2806.4, 32)"
BAJAJCORP,"(447.0, 453.3, 56)","(453.3, 459.6, 520)","(459.6, 465.9, 813)","(465.9, 472.2, 599)","(472.2, 478.5, 436)","(478.5, 484.8, 639)","(484.8, 491.1, 112)","(491.1, 497.4, 188)","(497.4, 503.7, 118)","(503.7, 510.0, 7)","(459.6, 465.9, 7)"
BAJAJELEC,"(519.0, 537.7, 199)","(537.7, 556.4, 307)","(556.4, 575.1, 636)","(575.1, 593.8, 209)","(593.8, 612.5, 138)","(612.5, 631.2, 896)","(631.2, 649.9, 534)","(649.9, 668.6, 698)","(668.6, 687.3, 97)","(687.3, 706.0, 39)","(612.5, 631.2, 39)"
BAJAJFINSV,"(4811.0, 4888.5, 84)","(4888.5, 4966.0, 118)","(4966.0, 5043.5, 397)","(5043.5, 5121.0, 582)","(5121.0, 5198.5, 236)","(5198.5, 5276.0, 201)","(5276.0, 5353.5, 621)","(5353.5, 5431.0, 943)","(5431.0, 5508.5, 454)","(5508.5, 5586.0, 122)","(5353.5, 5431.0, 122)"
BAJAJHIND,"(7.0, 7.6, 38)","(7.6, 8.2, 107)","(8.2, 8.8, 765)","(8.8, 9.4, 883)","(9.4, 10.0, 758)","(10.0, 10.6, 484)","(10.6, 11.2, 330)","(11.2, 11.8, 83)","(11.8, 12.4, 128)","(12.4, 13.0, 170)","(8.8, 9.4, 170)"
BAJAJHLDNG,"(2506.0, 2549.2, 250)","(2549.2, 2592.4, 152)","(2592.4, 2635.6, 960)","(2635.6, 2678.8, 969)","(2678.8, 2722.0, 373)","(2722.0, 2765.2, 558)","(2765.2, 2808.4, 6)","(2808.4, 2851.6, 27)","(2851.6, 2894.8, 12)","(2894.8, 2938.0, 4)","(2635.6, 2678.8, 4)"
BAJFINANCE,"(1600.0, 1636.8, 221)","(1636.8, 1673.6, 520)","(1673.6, 1710.4, 412)","(1710.4, 1747.2, 198)","(1747.2, 1784.0, 62)","(1784.0, 1820.8, 195)","(1820.8, 1857.6, 235)","(1857.6, 1894.4, 595)","(1894.4, 1931.2, 926)","(1931.2, 1968.0, 398)","(1894.4, 1931.2, 398)"
BALAJITELE,"(122.0, 124.0, 9)","(124.0, 126.0, 73)","(126.0, 128.0, 254)","(128.0, 130.0, 381)","(130.0, 132.0, 714)","(132.0, 134.0, 672)","(134.0, 136.0, 560)","(136.0, 138.0, 420)","(138.0, 140.0, 168)","(140.0, 142.0, 10)","(130.0, 132.0, 10)"
BALAMINES,"(559.0, 576.1, 278)","(576.1, 593.2, 685)","(593.2, 610.3, 354)","(610.3, 627.4, 212)","(627.4, 644.5, 269)","(644.5, 661.6, 353)","(661.6, 678.7, 765)","(678.7, 695.8, 361)","(695.8, 712.9, 104)","(712.9, 730.0, 170)","(661.6, 678.7, 170)"
BALAXI,"(14.0, 14.1, 0)","(14.1, 14.2, 0)","(14.2, 14.3, 0)","(14.3, 14.4, 0)","(14.4, 14.5, 0)","(14.5, 14.6, 0)","(14.6, 14.7, 0)","(14.7, 14.8, 0)","(14.8, 14.9, 3)","(14.9, 15.0, 0)","(14.8, 14.9, 0)"
BALKRISHNA,"(67.0, 69.4, 109)","(69.4, 71.8, 234)","(71.8, 74.2, 225)","(74.2, 76.6, 111)","(76.6, 79.0, 57)","(79.0, 81.4, 311)","(81.4, 83.8, 183)","(83.8, 86.2, 351)","(86.2, 88.6, 212)","(88.6, 91.0, 28)","(83.8, 86.2, 28)"
BALKRISIND,"(1006.0, 1040.4, 352)","(1040.4, 1074.8, 676)","(1074.8, 1109.2, 526)","(1109.2, 1143.6, 84)","(1143.6, 1178.0, 99)","(1178.0, 1212.4, 329)","(1212.4, 1246.8, 200)","(1246.8, 1281.2, 689)","(1281.2, 1315.6, 594)","(1315.6, 1350.0, 200)","(1246.8, 1281.2, 200)"
BALLARPUR,"(11.0, 11.5, 0)","(11.5, 12.0, 14)","(12.0, 12.5, 93)","(12.5, 13.0, 673)","(13.0, 13.5, 1397)","(13.5, 14.0, 825)","(14.0, 14.5, 103)","(14.5, 15.0, 311)","(15.0, 15.5, 82)","(15.5, 16.0, 1)","(13.0, 13.5, 1)"
BALMLAWRIE,"(212.0, 214.4, 55)","(214.4, 216.8, 226)","(216.8, 219.2, 511)","(219.2, 221.6, 851)","(221.6, 224.0, 912)","(224.0, 226.4, 544)","(226.4, 228.8, 211)","(228.8, 231.2, 141)","(231.2, 233.6, 183)","(233.6, 236.0, 21)","(221.6, 224.0, 21)"
BALPHARMA,"(76.0, 78.0, 127)","(78.0, 80.0, 143)","(80.0, 82.0, 110)","(82.0, 84.0, 548)","(84.0, 86.0, 360)","(86.0, 88.0, 420)","(88.0, 90.0, 115)","(90.0, 92.0, 314)","(92.0, 94.0, 102)","(94.0, 96.0, 166)","(82.0, 84.0, 166)"
