SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
GILLETTE,"(6332.0, 6368.8, 25)","(6368.8, 6405.6, 202)","(6405.6, 6442.4, 166)","(6442.4, 6479.2, 109)","(6479.2, 6516.0, 144)","(6516.0, 6552.8, 1328)","(6552.8, 6589.6, 403)","(6589.6, 6626.4, 296)","(6626.4, 6663.2, 176)","(6663.2, 6700.0, 3)","(6516.0, 6552.8, 3)"
GINNIFILA,"(25.0, 26.5, 39)","(26.5, 28.0, 347)","(28.0, 29.5, 412)","(29.5, 31.0, 698)","(31.0, 32.5, 935)","(32.5, 34.0, 528)","(34.0, 35.5, 126)","(35.5, 37.0, 84)","(37.0, 38.5, 0)","(38.5, 40.0, 1)","(31.0, 32.5, 1)"
GIPCL,"(96.0, 97.8, 193)","(97.8, 99.6, 303)","(99.6, 101.4, 337)","(101.4, 103.2, 427)","(103.2, 105.0, 1033)","(105.0, 106.8, 620)","(106.8, 108.6, 51)","(108.6, 110.4, 30)","(110.4, 112.2, 170)","(112.2, 114.0, 70)","(103.2, 105.0, 70)"
GISOLUTION,"(4.0, 4.1, 0)","(4.1, 4.2, 0)","(4.2, 4.3, 0)","(4.3, 4.4, 0)","(4.4, 4.5, 1)","(4.5, 4.6, 1)","(4.6, 4.7, 1)","(4.7, 4.8, 1)","(4.8, 4.9, 0)","(4.9, 5.0, 0)","(4.4, 4.5, 0)"
GITANJALI,"(2.0, 4.0, 1021)","(4.0, 6.0, 649)","(6.0, 8.0, 430)","(8.0, 10.0, 272)","(10.0, 12.0, 261)","(12.0, 14.0, 214)","(14.0, 16.0, 195)","(16.0, 18.0, 125)","(18.0, 20.0, 137)","(20.0, 22.0, 142)","(2.0, 4.0, 142)"
GKWLIMITED,"(546.0, 586.4, 340)","(586.4, 626.8, 73)","(626.8, 667.2, 29)","(667.2, 707.6, 0)","(707.6, 748.0, 0)","(748.0, 788.4, 52)","(788.4, 828.8, 77)","(828.8, 869.2, 85)","(869.2, 909.6, 178)","(909.6, 950.0, 161)","(546.0, 586.4, 161)"
GLAXO,"(2066.0, 2104.9, 44)","(2104.9, 2143.8, 218)","(2143.8, 2182.7, 165)","(2182.7, 2221.6, 380)","(2221.6, 2260.5, 268)","(2260.5, 2299.4, 672)","(2299.4, 2338.3, 656)","(2338.3, 2377.2, 581)","(2377.2, 2416.1, 422)","(2416.1, 2455.0, 154)","(2260.5, 2299.4, 154)"
GLENMARK,"(502.0, 510.8, 35)","(510.8, 519.6, 114)","(519.6, 528.4, 263)","(528.4, 537.2, 364)","(537.2, 546.0, 659)","(546.0, 554.8, 535)","(554.8, 563.6, 642)","(563.6, 572.4, 614)","(572.4, 581.2, 448)","(581.2, 590.0, 83)","(537.2, 546.0, 83)"
GLOBALVECT,"(104.0, 108.1, 27)","(108.1, 112.2, 52)","(112.2, 116.3, 93)","(116.3, 120.4, 176)","(120.4, 124.5, 447)","(124.5, 128.6, 737)","(128.6, 132.7, 229)","(132.7, 136.8, 196)","(136.8, 140.9, 314)","(140.9, 145.0, 119)","(124.5, 128.6, 119)"
GLOBOFFS,"(20.0, 21.3, 56)","(21.3, 22.6, 117)","(22.6, 23.9, 113)","(23.9, 25.2, 295)","(25.2, 26.5, 209)","(26.5, 27.8, 532)","(27.8, 29.1, 350)","(29.1, 30.4, 266)","(30.4, 31.7, 54)","(31.7, 33.0, 35)","(26.5, 27.8, 35)"
GLOBUSSPR,"(115.0, 119.7, 420)","(119.7, 124.4, 706)","(124.4, 129.1, 148)","(129.1, 133.8, 388)","(133.8, 138.5, 310)","(138.5, 143.2, 508)","(143.2, 147.9, 396)","(147.9, 152.6, 202)","(152.6, 157.3, 190)","(157.3, 162.0, 22)","(119.7, 124.4, 22)"
GMBREW,"(871.0, 900.4, 156)","(900.4, 929.8, 515)","(929.8, 959.2, 114)","(959.2, 988.6, 250)","(988.6, 1018.0, 636)","(1018.0, 1047.4, 799)","(1047.4, 1076.8, 423)","(1076.8, 1106.2, 545)","(1106.2, 1135.6, 217)","(1135.6, 1165.0, 18)","(1018.0, 1047.4, 18)"
GMDCLTD,"(119.0, 121.8, 68)","(121.8, 124.6, 218)","(124.6, 127.4, 273)","(127.4, 130.2, 512)","(130.2, 133.0, 482)","(133.0, 135.8, 525)","(135.8, 138.6, 850)","(138.6, 141.4, 530)","(141.4, 144.2, 178)","(144.2, 147.0, 91)","(135.8, 138.6, 91)"
GMMPFAUDLR,"(575.0, 603.4, 1)","(603.4, 631.8, 0)","(631.8, 660.2, 5)","(660.2, 688.6, 153)","(688.6, 717.0, 276)","(717.0, 745.4, 423)","(745.4, 773.8, 227)","(773.8, 802.2, 265)","(802.2, 830.6, 186)","(830.6, 859.0, 65)","(717.0, 745.4, 65)"
GMRINFRA,"(16.0, 16.6, 10)","(16.6, 17.2, 240)","(17.2, 17.8, 672)","(17.8, 18.4, 478)","(18.4, 19.0, 485)","(19.0, 19.6, 222)","(19.6, 20.2, 922)","(20.2, 20.8, 596)","(20.8, 21.4, 128)","(21.4, 22.0, 1)","(19.6, 20.2, 1)"
GNA,"(418.0, 434.1, 831)","(434.1, 450.2, 529)","(450.2, 466.3, 136)","(466.3, 482.4, 89)","(482.4, 498.5, 351)","(498.5, 514.6, 20)","(514.6, 530.7, 327)","(530.7, 546.8, 521)","(546.8, 562.9, 601)","(562.9, 579.0, 149)","(418.0, 434.1, 149)"
GNFC,"(364.0, 378.3, 186)","(378.3, 392.6, 381)","(392.6, 406.9, 575)","(406.9, 421.2, 868)","(421.2, 435.5, 394)","(435.5, 449.8, 308)","(449.8, 464.1, 375)","(464.1, 478.4, 231)","(478.4, 492.7, 275)","(492.7, 507.0, 161)","(406.9, 421.2, 161)"
GOACARBON,"(717.0, 753.2, 380)","(753.2, 789.4, 268)","(789.4, 825.6, 244)","(825.6, 861.8, 131)","(861.8, 898.0, 636)","(898.0, 934.2, 711)","(934.2, 970.4, 560)","(970.4, 1006.6, 386)","(1006.6, 1042.8, 331)","(1042.8, 1079.0, 97)","(898.0, 934.2, 97)"
GOCLCORP,"(483.0, 491.7, 47)","(491.7, 500.4, 107)","(500.4, 509.1, 378)","(509.1, 517.8, 351)","(517.8, 526.5, 299)","(526.5, 535.2, 202)","(535.2, 543.9, 89)","(543.9, 552.6, 44)","(552.6, 561.3, 51)","(561.3, 570.0, 73)","(500.4, 509.1, 73)"
GODFRYPHLP,"(797.0, 810.3, 249)","(810.3, 823.6, 173)","(823.6, 836.9, 502)","(836.9, 850.2, 293)","(850.2, 863.5, 670)","(863.5, 876.8, 670)","(876.8, 890.1, 681)","(890.1, 903.4, 350)","(903.4, 916.7, 55)","(916.7, 930.0, 11)","(876.8, 890.1, 11)"
