SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
3MINDIA,"(18989.0, 19203.7, 174)","(19203.7, 19418.4, 65)","(19418.4, 19633.1, 85)","(19633.1, 19847.8, 158)","(19847.8, 20062.5, 182)","(20062.5, 20277.2, 300)","(20277.2, 20491.9, 598)","(20491.9, 20706.6, 1022)","(20706.6, 20921.3, 250)","(20921.3, 21136.0, 37)","(20491.9, 20706.6, 1022)"
8KMILES,"(625.0, 647.7, 126)","(647.7, 670.4, 226)","(670.4, 693.1, 747)","(693.1, 715.8, 1011)","(715.8, 738.5, 375)","(738.5, 761.2, 606)","(761.2, 783.9, 150)","(783.9, 806.6, 256)","(806.6, 829.3, 180)","(829.3, 852.0, 25)","(693.1, 715.8, 1011)"
ABB,"(1220.0, 1249.3, 183)","(1249.3, 1278.6, 782)","(1278.6, 1307.9, 1346)","(1307.9, 1337.2, 229)","(1337.2, 1366.5, 477)","(1366.5, 1395.8, 188)","(1395.8, 1425.1, 87)","(1425.1, 1454.4, 316)","(1454.4, 1483.7, 54)","(1483.7, 1513.0, 36)","(1278.6, 1307.9, 1346)"
ACC,"(1400.0, 1422.3, 133)","(1422.3, 1444.6, 43)","(1444.6, 1466.9, 66)","(1466.9, 1489.2, 68)","(1489.2, 1511.5, 133)","(1511.5, 1533.8, 728)","(1533.8, 1556.1, 1051)","(1556.1, 1578.4, 784)","(1578.4, 1600.7, 476)","(1600.7, 1623.0, 226)","(1533.8, 1556.1, 1051)"
AIAENG,"(1348.0, 1374.1, 146)","(1374.1, 1400.2, 293)","(1400.2, 1426.3, 1549)","(1426.3, 1452.4, 961)","(1452.4, 1478.5, 212)","(1478.5, 1504.6, 10)","(1504.6, 1530.7, 22)","(1530.7, 1556.8, 4)","(1556.8, 1582.9, 6)","(1582.9, 1609.0, 15)","(1400.2, 1426.3, 1549)"
APLAPOLLO,"(1830.0, 1872.0, 16)","(1872.0, 1914.0, 240)","(1914.0, 1956.0, 363)","(1956.0, 1998.0, 360)","(1998.0, 2040.0, 457)","(2040.0, 2082.0, 102)","(2082.0, 2124.0, 476)","(2124.0, 2166.0, 569)","(2166.0, 2208.0, 796)","(2208.0, 2250.0, 8)","(2166.0, 2208.0, 796)"
AUBANK,"(568.0, 586.0, 849)","(586.0, 604.0, 262)","(604.0, 622.0, 76)","(622.0, 640.0, 267)","(640.0, 658.0, 460)","(658.0, 676.0, 652)","(676.0, 694.0, 337)","(694.0, 712.0, 466)","(712.0, 730.0, 265)","(730.0, 748.0, 35)","(568.0, 586.0, 849)"
AARTIIND,"(1052.0, 1082.8, 134)","(1082.8, 1113.6, 102)","(1113.6, 1144.4, 211)","(1144.4, 1175.2, 950)","(1175.2, 1206.0, 407)","(1206.0, 1236.8, 88)","(1236.8, 1267.6, 164)","(1267.6, 1298.4, 78)","(1298.4, 1329.2, 1247)","(1329.2, 1360.0, 234)","(1298.4, 1329.2, 1247)"
ABAN,"(155.0, 158.1, 222)","(158.1, 161.2, 562)","(161.2, 164.3, 741)","(164.3, 167.4, 513)","(167.4, 170.5, 284)","(170.5, 173.6, 445)","(173.6, 176.7, 549)","(176.7, 179.8, 219)","(179.8, 182.9, 121)","(182.9, 186.0, 49)","(161.2, 164.3, 741)"
ADANIPORTS,"(351.0, 357.5, 142)","(357.5, 364.0, 221)","(364.0, 370.5, 409)","(370.5, 377.0, 250)","(377.0, 383.5, 660)","(383.5, 390.0, 624)","(390.0, 396.5, 287)","(396.5, 403.0, 182)","(403.0, 409.5, 442)","(409.5, 416.0, 496)","(377.0, 383.5, 660)"
ADANIPOWER,"(21.0, 22.1, 133)","(22.1, 23.2, 91)","(23.2, 24.3, 391)","(24.3, 25.4, 934)","(25.4, 26.5, 1630)","(26.5, 27.6, 248)","(27.6, 28.7, 173)","(28.7, 29.8, 32)","(29.8, 30.9, 32)","(30.9, 32.0, 40)","(25.4, 26.5, 1630)"
ADANITRANS,"(130.0, 137.5, 93)","(137.5, 145.0, 21)","(145.0, 152.5, 45)","(152.5, 160.0, 73)","(160.0, 167.5, 540)","(167.5, 175.0, 771)","(175.0, 182.5, 842)","(182.5, 190.0, 606)","(190.0, 197.5, 493)","(197.5, 205.0, 222)","(175.0, 182.5, 842)"
ABCAPITAL,"(144.0, 146.2, 111)","(146.2, 148.4, 504)","(148.4, 150.6, 237)","(150.6, 152.8, 375)","(152.8, 155.0, 571)","(155.0, 157.2, 427)","(157.2, 159.4, 863)","(159.4, 161.6, 521)","(161.6, 163.8, 93)","(163.8, 166.0, 4)","(157.2, 159.4, 863)"
ABFRL,"(134.0, 136.5, 51)","(136.5, 139.0, 158)","(139.0, 141.5, 215)","(141.5, 144.0, 319)","(144.0, 146.5, 795)","(146.5, 149.0, 1216)","(149.0, 151.5, 713)","(151.5, 154.0, 200)","(154.0, 156.5, 11)","(156.5, 159.0, 1)","(146.5, 149.0, 1216)"
ADVENZYMES,"(207.0, 212.7, 130)","(212.7, 218.4, 377)","(218.4, 224.1, 683)","(224.1, 229.8, 497)","(229.8, 235.5, 492)","(235.5, 241.2, 618)","(241.2, 246.9, 253)","(246.9, 252.6, 432)","(252.6, 258.3, 114)","(258.3, 264.0, 95)","(218.4, 224.1, 683)"
AEGISCHEM,"(227.0, 234.3, 59)","(234.3, 241.6, 181)","(241.6, 248.9, 532)","(248.9, 256.2, 393)","(256.2, 263.5, 287)","(263.5, 270.8, 196)","(270.8, 278.1, 153)","(278.1, 285.4, 866)","(285.4, 292.7, 836)","(292.7, 300.0, 66)","(278.1, 285.4, 866)"
AJANTPHARM,"(1039.0, 1080.9, 315)","(1080.9, 1122.8, 51)","(1122.8, 1164.7, 186)","(1164.7, 1206.6, 86)","(1206.6, 1248.5, 60)","(1248.5, 1290.4, 28)","(1290.4, 1332.3, 176)","(1332.3, 1374.2, 1050)","(1374.2, 1416.1, 1675)","(1416.1, 1458.0, 73)","(1374.2, 1416.1, 1675)"
AKZOINDIA,"(1742.0, 1767.2, 344)","(1767.2, 1792.4, 343)","(1792.4, 1817.6, 293)","(1817.6, 1842.8, 136)","(1842.8, 1868.0, 30)","(1868.0, 1893.2, 38)","(1893.2, 1918.4, 369)","(1918.4, 1943.6, 1209)","(1943.6, 1968.8, 254)","(1968.8, 1994.0, 85)","(1918.4, 1943.6, 1209)"
APLLTD,"(472.0, 481.8, 61)","(481.8, 491.6, 206)","(491.6, 501.4, 151)","(501.4, 511.2, 577)","(511.2, 521.0, 245)","(521.0, 530.8, 337)","(530.8, 540.6, 674)","(540.6, 550.4, 913)","(550.4, 560.2, 169)","(560.2, 570.0, 1)","(540.6, 550.4, 913)"
ALKEM,"(1744.0, 1796.9, 612)","(1796.9, 1849.8, 161)","(1849.8, 1902.7, 240)","(1902.7, 1955.6, 474)","(1955.6, 2008.5, 642)","(2008.5, 2061.4, 331)","(2061.4, 2114.3, 273)","(2114.3, 2167.2, 276)","(2167.2, 2220.1, 402)","(2220.1, 2273.0, 254)","(1955.6, 2008.5, 642)"
ALBK,"(37.0, 38.9, 58)","(38.9, 40.8, 64)","(40.8, 42.7, 25)","(42.7, 44.6, 126)","(44.6, 46.5, 326)","(46.5, 48.4, 913)","(48.4, 50.3, 1130)","(50.3, 52.2, 563)","(52.2, 54.1, 357)","(54.1, 56.0, 148)","(48.4, 50.3, 1130)"
ALLCARGO,"(124.0, 129.3, 198)","(129.3, 134.6, 225)","(134.6, 139.9, 415)","(139.9, 145.2, 134)","(145.2, 150.5, 665)","(150.5, 155.8, 1236)","(155.8, 161.1, 498)","(161.1, 166.4, 198)","(166.4, 171.7, 67)","(171.7, 177.0, 65)","(150.5, 155.8, 1236)"
AMARAJABAT,"(769.0, 782.4, 230)","(782.4, 795.8, 447)","(795.8, 809.2, 838)","(809.2, 822.6, 588)","(822.6, 836.0, 110)","(836.0, 849.4, 280)","(849.4, 862.8, 489)","(862.8, 876.2, 477)","(876.2, 889.6, 188)","(889.6, 903.0, 60)","(795.8, 809.2, 838)"
AMBUJACEM,"(210.0, 214.3, 85)","(214.3, 218.6, 182)","(218.6, 222.9, 117)","(222.9, 227.2, 112)","(227.2, 231.5, 379)","(231.5, 235.8, 501)","(235.8, 240.1, 881)","(240.1, 244.4, 699)","(244.4, 248.7, 580)","(248.7, 253.0, 173)","(235.8, 240.1, 881)"
ANDHRABANK,"(33.0, 34.4, 45)","(34.4, 35.8, 173)","(35.8, 37.2, 315)","(37.2, 38.6, 633)","(38.6, 40.0, 531)","(40.0, 41.4, 313)","(41.4, 42.8, 652)","(42.8, 44.2, 813)","(44.2, 45.6, 174)","(45.6, 47.0, 60)","(42.8, 44.2, 813)"
APOLLOHOSP,"(996.0, 1015.3, 149)","(1015.3, 1034.6, 413)","(1034.6, 1053.9, 425)","(1053.9, 1073.2, 449)","(1073.2, 1092.5, 1002)","(1092.5, 1111.8, 582)","(1111.8, 1131.1, 268)","(1131.1, 1150.4, 151)","(1150.4, 1169.7, 193)","(1169.7, 1189.0, 78)","(1073.2, 1092.5, 1002)"
APOLLOTYRE,"(251.0, 256.7, 142)","(256.7, 262.4, 376)","(262.4, 268.1, 591)","(268.1, 273.8, 82)","(273.8, 279.5, 170)","(279.5, 285.2, 241)","(285.2, 290.9, 1042)","(290.9, 296.6, 825)","(296.6, 302.3, 214)","(302.3, 308.0, 25)","(285.2, 290.9, 1042)"
ARVIND,"(375.0, 382.0, 79)","(382.0, 389.0, 348)","(389.0, 396.0, 522)","(396.0, 403.0, 330)","(403.0, 410.0, 609)","(410.0, 417.0, 642)","(417.0, 424.0, 586)","(424.0, 431.0, 450)","(431.0, 438.0, 110)","(438.0, 445.0, 33)","(410.0, 417.0, 642)"
ASAHIINDIA,"(330.0, 335.6, 495)","(335.6, 341.2, 120)","(341.2, 346.8, 357)","(346.8, 352.4, 522)","(352.4, 358.0, 478)","(358.0, 363.6, 319)","(363.6, 369.2, 323)","(369.2, 374.8, 41)","(374.8, 380.4, 138)","(380.4, 386.0, 48)","(346.8, 352.4, 522)"
ASHOKLEY,"(139.0, 141.9, 152)","(141.9, 144.8, 330)","(144.8, 147.7, 965)","(147.7, 150.6, 690)","(150.6, 153.5, 329)","(153.5, 156.4, 155)","(156.4, 159.3, 108)","(159.3, 162.2, 320)","(162.2, 165.1, 518)","(165.1, 168.0, 141)","(144.8, 147.7, 965)"
ASHOKA,"(223.0, 230.2, 650)","(230.2, 237.4, 209)","(237.4, 244.6, 115)","(244.6, 251.8, 307)","(251.8, 259.0, 101)","(259.0, 266.2, 738)","(266.2, 273.4, 906)","(273.4, 280.6, 304)","(280.6, 287.8, 341)","(287.8, 295.0, 10)","(266.2, 273.4, 906)"
ASIANPAINT,"(1098.0, 1121.4, 724)","(1121.4, 1144.8, 633)","(1144.8, 1168.2, 951)","(1168.2, 1191.6, 565)","(1191.6, 1215.0, 261)","(1215.0, 1238.4, 247)","(1238.4, 1261.8, 2)","(1261.8, 1285.2, 62)","(1285.2, 1308.6, 97)","(1308.6, 1332.0, 168)","(1144.8, 1168.2, 951)"
ASTRAL,"(829.0, 843.6, 172)","(843.6, 858.2, 305)","(858.2, 872.8, 324)","(872.8, 887.4, 330)","(887.4, 902.0, 84)","(902.0, 916.6, 356)","(916.6, 931.2, 484)","(931.2, 945.8, 457)","(945.8, 960.4, 521)","(960.4, 975.0, 364)","(945.8, 960.4, 521)"
ATUL,"(2570.0, 2621.7, 320)","(2621.7, 2673.4, 783)","(2673.4, 2725.1, 388)","(2725.1, 2776.8, 647)","(2776.8, 2828.5, 353)","(2828.5, 2880.2, 388)","(2880.2, 2931.9, 65)","(2931.9, 2983.6, 58)","(2983.6, 3035.3, 3)","(3035.3, 3087.0, 5)","(2621.7, 2673.4, 783)"
AUROPHARMA,"(548.0, 558.5, 275)","(558.5, 569.0, 183)","(569.0, 579.5, 297)","(579.5, 590.0, 321)","(590.0, 600.5, 379)","(600.5, 611.0, 617)","(611.0, 621.5, 860)","(621.5, 632.0, 433)","(632.0, 642.5, 288)","(642.5, 653.0, 63)","(611.0, 621.5, 860)"
AVANTIFEED,"(1999.0, 2051.6, 63)","(2051.6, 2104.2, 39)","(2104.2, 2156.8, 106)","(2156.8, 2209.4, 568)","(2209.4, 2262.0, 311)","(2262.0, 2314.6, 752)","(2314.6, 2367.2, 497)","(2367.2, 2419.8, 725)","(2419.8, 2472.4, 412)","(2472.4, 2525.0, 233)","(2262.0, 2314.6, 752)"
DMART,"(1278.0, 1303.7, 238)","(1303.7, 1329.4, 335)","(1329.4, 1355.1, 552)","(1355.1, 1380.8, 385)","(1380.8, 1406.5, 93)","(1406.5, 1432.2, 141)","(1432.2, 1457.9, 220)","(1457.9, 1483.6, 736)","(1483.6, 1509.3, 965)","(1509.3, 1535.0, 47)","(1483.6, 1509.3, 965)"
AXISBANK,"(488.0, 495.6, 94)","(495.6, 503.2, 510)","(503.2, 510.8, 452)","(510.8, 518.4, 413)","(518.4, 526.0, 575)","(526.0, 533.6, 541)","(533.6, 541.2, 440)","(541.2, 548.8, 364)","(548.8, 556.4, 278)","(556.4, 564.0, 53)","(518.4, 526.0, 575)"
BASF,"(1900.0, 1931.5, 97)","(1931.5, 1963.0, 352)","(1963.0, 1994.5, 640)","(1994.5, 2026.0, 664)","(2026.0, 2057.5, 480)","(2057.5, 2089.0, 458)","(2089.0, 2120.5, 222)","(2120.5, 2152.0, 207)","(2152.0, 2183.5, 191)","(2183.5, 2215.0, 43)","(1994.5, 2026.0, 664)"
BEML,"(983.0, 1017.1, 107)","(1017.1, 1051.2, 597)","(1051.2, 1085.3, 888)","(1085.3, 1119.4, 965)","(1119.4, 1153.5, 769)","(1153.5, 1187.6, 218)","(1187.6, 1221.7, 40)","(1221.7, 1255.8, 47)","(1255.8, 1289.9, 23)","(1289.9, 1324.0, 56)","(1085.3, 1119.4, 965)"
BFUTILITIE,"(361.0, 369.8, 80)","(369.8, 378.6, 80)","(378.6, 387.4, 93)","(387.4, 396.2, 364)","(396.2, 405.0, 1068)","(405.0, 413.8, 1040)","(413.8, 422.6, 610)","(422.6, 431.4, 215)","(431.4, 440.2, 86)","(440.2, 449.0, 70)","(396.2, 405.0, 1068)"
BGRENERGY,"(96.0, 98.2, 88)","(98.2, 100.4, 49)","(100.4, 102.6, 246)","(102.6, 104.8, 319)","(104.8, 107.0, 1114)","(107.0, 109.2, 910)","(109.2, 111.4, 510)","(111.4, 113.6, 180)","(113.6, 115.8, 24)","(115.8, 118.0, 49)","(104.8, 107.0, 1114)"
BSE,"(729.0, 740.0, 183)","(740.0, 751.0, 71)","(751.0, 762.0, 95)","(762.0, 773.0, 308)","(773.0, 784.0, 247)","(784.0, 795.0, 251)","(795.0, 806.0, 305)","(806.0, 817.0, 905)","(817.0, 828.0, 1148)","(828.0, 839.0, 192)","(817.0, 828.0, 1148)"
BAJAJ-AUTO,"(2738.0, 2768.0, 220)","(2768.0, 2798.0, 584)","(2798.0, 2828.0, 504)","(2828.0, 2858.0, 468)","(2858.0, 2888.0, 550)","(2888.0, 2918.0, 402)","(2918.0, 2948.0, 383)","(2948.0, 2978.0, 450)","(2978.0, 3008.0, 94)","(3008.0, 3038.0, 54)","(2768.0, 2798.0, 584)"
BAJAJCORP,"(438.0, 445.2, 29)","(445.2, 452.4, 106)","(452.4, 459.6, 601)","(459.6, 466.8, 903)","(466.8, 474.0, 671)","(474.0, 481.2, 533)","(481.2, 488.4, 242)","(488.4, 495.6, 129)","(495.6, 502.8, 217)","(502.8, 510.0, 9)","(459.6, 466.8, 903)"
BAJAJELEC,"(519.0, 537.7, 89)","(537.7, 556.4, 192)","(556.4, 575.1, 636)","(575.1, 593.8, 209)","(593.8, 612.5, 221)","(612.5, 631.2, 991)","(631.2, 649.9, 534)","(649.9, 668.6, 698)","(668.6, 687.3, 97)","(687.3, 706.0, 39)","(612.5, 631.2, 991)"
BAJFINANCE,"(1600.0, 1636.8, 159)","(1636.8, 1673.6, 357)","(1673.6, 1710.4, 412)","(1710.4, 1747.2, 198)","(1747.2, 1784.0, 62)","(1784.0, 1820.8, 195)","(1820.8, 1857.6, 235)","(1857.6, 1894.4, 624)","(1894.4, 1931.2, 1070)","(1931.2, 1968.0, 403)","(1894.4, 1931.2, 1070)"
BAJAJFINSV,"(4811.0, 4888.5, 84)","(4888.5, 4966.0, 118)","(4966.0, 5043.5, 296)","(5043.5, 5121.0, 459)","(5121.0, 5198.5, 234)","(5198.5, 5276.0, 201)","(5276.0, 5353.5, 700)","(5353.5, 5431.0, 1036)","(5431.0, 5508.5, 460)","(5508.5, 5586.0, 122)","(5353.5, 5431.0, 1036)"
BAJAJHIND,"(6.0, 6.7, 2)","(6.7, 7.4, 180)","(7.4, 8.1, 126)","(8.1, 8.8, 779)","(8.8, 9.5, 1088)","(9.5, 10.2, 860)","(10.2, 10.9, 346)","(10.9, 11.6, 240)","(11.6, 12.3, 76)","(12.3, 13.0, 1)","(8.8, 9.5, 1088)"
BAJAJHLDNG,"(2506.0, 2549.2, 250)","(2549.2, 2592.4, 153)","(2592.4, 2635.6, 1080)","(2635.6, 2678.8, 991)","(2678.8, 2722.0, 345)","(2722.0, 2765.2, 387)","(2765.2, 2808.4, 6)","(2808.4, 2851.6, 27)","(2851.6, 2894.8, 12)","(2894.8, 2938.0, 4)","(2592.4, 2635.6, 1080)"
BALKRISIND,"(1006.0, 1040.4, 325)","(1040.4, 1074.8, 564)","(1074.8, 1109.2, 440)","(1109.2, 1143.6, 84)","(1143.6, 1178.0, 143)","(1178.0, 1212.4, 461)","(1212.4, 1246.8, 202)","(1246.8, 1281.2, 689)","(1281.2, 1315.6, 594)","(1315.6, 1350.0, 200)","(1246.8, 1281.2, 689)"
BALLARPUR,"(11.0, 11.5, 11)","(11.5, 12.0, 144)","(12.0, 12.5, 120)","(12.5, 13.0, 673)","(13.0, 13.5, 1328)","(13.5, 14.0, 686)","(14.0, 14.5, 103)","(14.5, 15.0, 311)","(15.0, 15.5, 82)","(15.5, 16.0, 1)","(13.0, 13.5, 1328)"
BALMLAWRIE,"(209.0, 211.7, 92)","(211.7, 214.4, 88)","(214.4, 217.1, 365)","(217.1, 219.8, 601)","(219.8, 222.5, 897)","(222.5, 225.2, 977)","(225.2, 227.9, 371)","(227.9, 230.6, 144)","(230.6, 233.3, 59)","(233.3, 236.0, 16)","(222.5, 225.2, 977)"
BALRAMCHIN,"(59.0, 64.0, 184)","(64.0, 69.0, 1020)","(69.0, 74.0, 564)","(74.0, 79.0, 630)","(79.0, 84.0, 328)","(84.0, 89.0, 622)","(89.0, 94.0, 202)","(94.0, 99.0, 84)","(99.0, 104.0, 34)","(104.0, 109.0, 43)","(64.0, 69.0, 1020)"
BANKBARODA,"(128.0, 130.8, 67)","(130.8, 133.6, 329)","(133.6, 136.4, 361)","(136.4, 139.2, 214)","(139.2, 142.0, 442)","(142.0, 144.8, 1085)","(144.8, 147.6, 572)","(147.6, 150.4, 259)","(150.4, 153.2, 310)","(153.2, 156.0, 75)","(142.0, 144.8, 1085)"
BANKINDIA,"(92.0, 94.7, 78)","(94.7, 97.4, 166)","(97.4, 100.1, 522)","(100.1, 102.8, 859)","(102.8, 105.5, 909)","(105.5, 108.2, 316)","(108.2, 110.9, 375)","(110.9, 113.6, 338)","(113.6, 116.3, 114)","(116.3, 119.0, 35)","(102.8, 105.5, 909)"
BATAINDIA,"(676.0, 690.1, 102)","(690.1, 704.2, 158)","(704.2, 718.3, 692)","(718.3, 732.4, 133)","(732.4, 746.5, 269)","(746.5, 760.6, 122)","(760.6, 774.7, 733)","(774.7, 788.8, 905)","(788.8, 802.9, 487)","(802.9, 817.0, 108)","(774.7, 788.8, 905)"
BERGEPAINT,"(238.0, 243.0, 306)","(243.0, 248.0, 591)","(248.0, 253.0, 289)","(253.0, 258.0, 128)","(258.0, 263.0, 288)","(263.0, 268.0, 651)","(268.0, 273.0, 558)","(273.0, 278.0, 393)","(278.0, 283.0, 398)","(283.0, 288.0, 104)","(263.0, 268.0, 651)"
BEL,"(115.0, 119.3, 31)","(119.3, 123.6, 108)","(123.6, 127.9, 174)","(127.9, 132.2, 647)","(132.2, 136.5, 389)","(136.5, 140.8, 385)","(140.8, 145.1, 649)","(145.1, 149.4, 773)","(149.4, 153.7, 480)","(153.7, 158.0, 73)","(145.1, 149.4, 773)"
BHARATFIN,"(1029.0, 1044.4, 228)","(1044.4, 1059.8, 228)","(1059.8, 1075.2, 428)","(1075.2, 1090.6, 267)","(1090.6, 1106.0, 148)","(1106.0, 1121.4, 347)","(1121.4, 1136.8, 266)","(1136.8, 1152.2, 1054)","(1152.2, 1167.6, 564)","(1167.6, 1183.0, 176)","(1136.8, 1152.2, 1054)"
BHARATFORG,"(679.0, 689.6, 62)","(689.6, 700.2, 125)","(700.2, 710.8, 335)","(710.8, 721.4, 234)","(721.4, 732.0, 657)","(732.0, 742.6, 1034)","(742.6, 753.2, 602)","(753.2, 763.8, 274)","(763.8, 774.4, 239)","(774.4, 785.0, 149)","(732.0, 742.6, 1034)"
BHEL,"(77.0, 78.5, 47)","(78.5, 80.0, 135)","(80.0, 81.5, 240)","(81.5, 83.0, 390)","(83.0, 84.5, 441)","(84.5, 86.0, 353)","(86.0, 87.5, 846)","(87.5, 89.0, 766)","(89.0, 90.5, 422)","(90.5, 92.0, 67)","(86.0, 87.5, 846)"
BPCL,"(371.0, 380.7, 375)","(380.7, 390.4, 623)","(390.4, 400.1, 268)","(400.1, 409.8, 498)","(409.8, 419.5, 352)","(419.5, 429.2, 482)","(429.2, 438.9, 324)","(438.9, 448.6, 438)","(448.6, 458.3, 144)","(458.3, 468.0, 213)","(380.7, 390.4, 623)"
BHARTIARTL,"(374.0, 379.6, 293)","(379.6, 385.2, 387)","(385.2, 390.8, 296)","(390.8, 396.4, 311)","(396.4, 402.0, 507)","(402.0, 407.6, 559)","(407.6, 413.2, 564)","(413.2, 418.8, 328)","(418.8, 424.4, 374)","(424.4, 430.0, 97)","(407.6, 413.2, 564)"
INFRATEL,"(310.0, 314.0, 128)","(314.0, 318.0, 251)","(318.0, 322.0, 378)","(322.0, 326.0, 360)","(326.0, 330.0, 238)","(330.0, 334.0, 247)","(334.0, 338.0, 928)","(338.0, 342.0, 730)","(342.0, 346.0, 361)","(346.0, 350.0, 90)","(334.0, 338.0, 928)"
BHUSANSTL,"(21.0, 23.8, 357)","(23.8, 26.6, 519)","(26.6, 29.4, 229)","(29.4, 32.2, 114)","(32.2, 35.0, 74)","(35.0, 37.8, 79)","(37.8, 40.6, 334)","(40.6, 43.4, 1051)","(43.4, 46.2, 905)","(46.2, 49.0, 38)","(40.6, 43.4, 1051)"
BIOCON,"(562.0, 573.6, 122)","(573.6, 585.2, 284)","(585.2, 596.8, 305)","(596.8, 608.4, 667)","(608.4, 620.0, 345)","(620.0, 631.6, 964)","(631.6, 643.2, 501)","(643.2, 654.8, 169)","(654.8, 666.4, 303)","(666.4, 678.0, 49)","(620.0, 631.6, 964)"
BIRLACORPN,"(687.0, 708.4, 236)","(708.4, 729.8, 309)","(729.8, 751.2, 1019)","(751.2, 772.6, 949)","(772.6, 794.0, 441)","(794.0, 815.4, 427)","(815.4, 836.8, 96)","(836.8, 858.2, 45)","(858.2, 879.6, 27)","(879.6, 901.0, 64)","(729.8, 751.2, 1019)"
BLISSGVS,"(180.0, 183.6, 255)","(183.6, 187.2, 232)","(187.2, 190.8, 59)","(190.8, 194.4, 47)","(194.4, 198.0, 372)","(198.0, 201.6, 798)","(201.6, 205.2, 1385)","(205.2, 208.8, 350)","(208.8, 212.4, 34)","(212.4, 216.0, 12)","(201.6, 205.2, 1385)"
BLUEDART,"(3270.0, 3379.6, 243)","(3379.6, 3489.2, 64)","(3489.2, 3598.8, 277)","(3598.8, 3708.4, 210)","(3708.4, 3818.0, 1086)","(3818.0, 3927.6, 576)","(3927.6, 4037.2, 268)","(4037.2, 4146.8, 97)","(4146.8, 4256.4, 356)","(4256.4, 4366.0, 115)","(3708.4, 3818.0, 1086)"
BLUESTARCO,"(740.0, 750.4, 91)","(750.4, 760.8, 164)","(760.8, 771.2, 370)","(771.2, 781.6, 427)","(781.6, 792.0, 838)","(792.0, 802.4, 1137)","(802.4, 812.8, 598)","(812.8, 823.2, 35)","(823.2, 833.6, 5)","(833.6, 844.0, 1)","(792.0, 802.4, 1137)"
BBTC,"(1087.0, 1143.8, 150)","(1143.8, 1200.6, 404)","(1200.6, 1257.4, 398)","(1257.4, 1314.2, 754)","(1314.2, 1371.0, 361)","(1371.0, 1427.8, 204)","(1427.8, 1484.6, 74)","(1484.6, 1541.4, 409)","(1541.4, 1598.2, 676)","(1598.2, 1655.0, 279)","(1257.4, 1314.2, 754)"
BOMDYEING,"(235.0, 243.7, 418)","(243.7, 252.4, 687)","(252.4, 261.1, 530)","(261.1, 269.8, 537)","(269.8, 278.5, 234)","(278.5, 287.2, 503)","(287.2, 295.9, 292)","(295.9, 304.6, 138)","(304.6, 313.3, 265)","(313.3, 322.0, 109)","(243.7, 252.4, 687)"
BRFL,"(17.0, 21.3, 330)","(21.3, 25.6, 472)","(25.6, 29.9, 195)","(29.9, 34.2, 224)","(34.2, 38.5, 338)","(38.5, 42.8, 720)","(42.8, 47.1, 386)","(47.1, 51.4, 517)","(51.4, 55.7, 142)","(55.7, 60.0, 90)","(38.5, 42.8, 720)"
BOSCHLTD,"(17012.0, 17340.6, 138)","(17340.6, 17669.2, 195)","(17669.2, 17997.8, 349)","(17997.8, 18326.4, 615)","(18326.4, 18655.0, 291)","(18655.0, 18983.6, 267)","(18983.6, 19312.2, 104)","(19312.2, 19640.8, 1018)","(19640.8, 19969.4, 541)","(19969.4, 20298.0, 174)","(19312.2, 19640.8, 1018)"
BRIGADE,"(242.0, 248.6, 180)","(248.6, 255.2, 666)","(255.2, 261.8, 727)","(261.8, 268.4, 744)","(268.4, 275.0, 632)","(275.0, 281.6, 422)","(281.6, 288.2, 113)","(288.2, 294.8, 5)","(294.8, 301.4, 6)","(301.4, 308.0, 1)","(261.8, 268.4, 744)"
BRITANNIA,"(4812.0, 4889.3, 999)","(4889.3, 4966.6, 196)","(4966.6, 5043.9, 191)","(5043.9, 5121.2, 290)","(5121.2, 5198.5, 315)","(5198.5, 5275.8, 98)","(5275.8, 5353.1, 241)","(5353.1, 5430.4, 752)","(5430.4, 5507.7, 490)","(5507.7, 5585.0, 132)","(4812.0, 4889.3, 999)"
CARERATING,"(1185.0, 1203.4, 207)","(1203.4, 1221.8, 60)","(1221.8, 1240.2, 294)","(1240.2, 1258.6, 302)","(1258.6, 1277.0, 964)","(1277.0, 1295.4, 722)","(1295.4, 1313.8, 294)","(1313.8, 1332.2, 280)","(1332.2, 1350.6, 406)","(1350.6, 1369.0, 75)","(1258.6, 1277.0, 964)"
CCL,"(276.0, 280.4, 170)","(280.4, 284.8, 296)","(284.8, 289.2, 445)","(289.2, 293.6, 870)","(293.6, 298.0, 495)","(298.0, 302.4, 127)","(302.4, 306.8, 175)","(306.8, 311.2, 485)","(311.2, 315.6, 131)","(315.6, 320.0, 46)","(289.2, 293.6, 870)"
CGPOWER,"(73.0, 74.2, 86)","(74.2, 75.4, 36)","(75.4, 76.6, 232)","(76.6, 77.8, 313)","(77.8, 79.0, 382)","(79.0, 80.2, 506)","(80.2, 81.4, 800)","(81.4, 82.6, 890)","(82.6, 83.8, 388)","(83.8, 85.0, 67)","(81.4, 82.6, 890)"
