SYMBOL,INTERVAL NO. 1,INTERVAL NO. 2,INTERVAL NO. 3,INTERVAL NO. 4,INTERVAL NO. 5,INTERVAL NO. 6,INTERVAL NO. 7,INTERVAL NO. 8,INTERVAL NO. 9,INTERVAL NO. 10,MAX FREQ.
SUNPHARMA,"(461.0, 471.0, 98)","(471.0, 481.0, 133)","(481.0, 491.0, 97)","(491.0, 501.0, 189)","(501.0, 511.0, 1063)","(511.0, 521.0, 1562)","(521.0, 531.0, 488)","(531.0, 541.0, 26)","(541.0, 551.0, 58)","(551.0, 561.0, 4)","(511.0, 521.0, 1562)"
SUNTV,"(816.0, 834.3, 118)","(834.3, 852.6, 132)","(852.6, 870.9, 734)","(870.9, 889.2, 1362)","(889.2, 907.5, 808)","(907.5, 925.8, 154)","(925.8, 944.1, 146)","(944.1, 962.4, 29)","(962.4, 980.7, 189)","(980.7, 999.0, 41)","(870.9, 889.2, 1362)"
SUNDRMFAST,"(548.0, 557.5, 218)","(557.5, 567.0, 356)","(567.0, 576.5, 408)","(576.5, 586.0, 626)","(586.0, 595.5, 768)","(595.5, 605.0, 898)","(605.0, 614.5, 329)","(614.5, 624.0, 54)","(624.0, 633.5, 35)","(633.5, 643.0, 9)","(595.5, 605.0, 898)"
SUNTECK,"(393.0, 400.7, 375)","(400.7, 408.4, 910)","(408.4, 416.1, 566)","(416.1, 423.8, 372)","(423.8, 431.5, 708)","(431.5, 439.2, 303)","(439.2, 446.9, 177)","(446.9, 454.6, 63)","(454.6, 462.3, 39)","(462.3, 470.0, 8)","(400.7, 408.4, 910)"
SUPREMEIND,"(1165.0, 1192.2, 814)","(1192.2, 1219.4, 820)","(1219.4, 1246.6, 115)","(1246.6, 1273.8, 172)","(1273.8, 1301.0, 527)","(1301.0, 1328.2, 388)","(1328.2, 1355.4, 333)","(1355.4, 1382.6, 192)","(1382.6, 1409.8, 155)","(1409.8, 1437.0, 27)","(1192.2, 1219.4, 820)"
SUVEN,"(166.0, 169.6, 183)","(169.6, 173.2, 604)","(173.2, 176.8, 491)","(176.8, 180.4, 852)","(180.4, 184.0, 841)","(184.0, 187.6, 388)","(187.6, 191.2, 162)","(191.2, 194.8, 87)","(194.8, 198.4, 80)","(198.4, 202.0, 13)","(176.8, 180.4, 852)"
SUZLON,"(8.0, 8.5, 0)","(8.5, 9.0, 45)","(9.0, 9.5, 155)","(9.5, 10.0, 129)","(10.0, 10.5, 200)","(10.5, 11.0, 731)","(11.0, 11.5, 965)","(11.5, 12.0, 973)","(12.0, 12.5, 444)","(12.5, 13.0, 68)","(11.5, 12.0, 973)"
SWANENERGY,"(163.0, 166.8, 97)","(166.8, 170.6, 392)","(170.6, 174.4, 899)","(174.4, 178.2, 380)","(178.2, 182.0, 450)","(182.0, 185.8, 542)","(185.8, 189.6, 216)","(189.6, 193.4, 58)","(193.4, 197.2, 131)","(197.2, 201.0, 58)","(170.6, 174.4, 899)"
SYMPHONY,"(1687.0, 1713.0, 132)","(1713.0, 1739.0, 250)","(1739.0, 1765.0, 310)","(1765.0, 1791.0, 303)","(1791.0, 1817.0, 1529)","(1817.0, 1843.0, 315)","(1843.0, 1869.0, 371)","(1869.0, 1895.0, 257)","(1895.0, 1921.0, 101)","(1921.0, 1947.0, 38)","(1791.0, 1817.0, 1529)"
SYNDIBANK,"(43.0, 45.2, 65)","(45.2, 47.4, 33)","(47.4, 49.6, 7)","(49.6, 51.8, 223)","(51.8, 54.0, 638)","(54.0, 56.2, 903)","(56.2, 58.4, 741)","(58.4, 60.6, 712)","(60.6, 62.8, 313)","(62.8, 65.0, 72)","(54.0, 56.2, 903)"
